ID,CrimeCode,Description,Weapon,Incidents
186384,4B,O,KNIFE,1
186385,4E,I,HANDS,1
186388,4C,O,OTHER,1
186389,4E,O,HANDS,1
186390,4B,O,KNIFE,1
186391,4E,I,HANDS,1
186392,4E,O,HANDS,1
186393,4E,I,HANDS,1
186395,4C,I,OTHER,1
186398,4D,I,HANDS,1
186400,3AK,O,KNIFE,1
186401,4E,I,HANDS,1
186402,4E,I,HANDS,1
186403,4B,I,KNIFE,1
186404,4E,I,HANDS,1
186406,4E,O,HANDS,1
186409,4E,I,HANDS,1
186410,4C,O,OTHER,1
186412,4D,I,HANDS,1
186418,4E,I,HANDS,1
186433,4E,O,HANDS,1
186446,4C,O,OTHER,1
186454,4E,I,HANDS,1
186457,4C,O,OTHER,1
186461,4C,O,OTHER,1
186463,4C,O,OTHER,1
186470,4B,O,KNIFE,1
186473,4A,I,FIREARM,1
186478,4A,O,FIREARM,1
186479,3AO,O,OTHER,1
186480,3AF,O,FIREARM,1
186481,3AF,O,FIREARM,1
